TYPE;PROVINCE;TOWN
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Estudio;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Casa o chalet independiente;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Ático;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Ático;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Dúplex;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Chalet adosado;A Coruña;a coruna
Casa o chalet independiente;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
Piso;A Coruña;a coruna
